Tenure,TotalCashback,Complain,WarehouseToHome,DaySinceLastOrder,NumberOfAddress,SatisfactionScore,PreferedOrderCat_Mobile,CouponUsed,CityTier
31.0,443.01,0,13.0,3.0,10,3,1,3.0,2
4.0,144.24,0,14.0,8.0,2,1,0,1.0,1
13.0,1801.47,0,8.0,8.0,6,3,0,6.0,1
27.0,328.99,0,15.0,3.0,7,1,0,3.0,3
19.0,736.24,0,32.0,9.0,2,1,0,1.0,1
5.0,196.79,0,11.0,0.0,9,1,0,0.0,1
6.0,434.08,0,14.0,3.0,6,1,0,1.0,3
1.0,453.29999999999995,0,22.0,3.0,3,3,1,2.0,1
3.0,444.3,0,15.0,3.0,5,5,0,1.0,1
17.0,644.8,0,10.0,8.0,5,2,0,2.0,1
22.0,153.9,0,8.0,8.0,3,4,0,1.0,3
17.0,300.66,0,7.0,2.0,3,5,0,1.0,1
1.0,320.34,0,15.0,3.0,9,3,1,1.0,1
1.0,309.88,1,32.0,2.0,3,1,1,1.0,1
8.0,1081.1999999999998,0,22.0,9.0,1,4,0,3.0,3
8.0,308.72,1,17.0,3.0,3,3,1,2.0,1
4.0,307.24,0,23.0,9.0,3,1,1,1.0,1
19.0,303.08,0,17.0,3.0,5,2,1,2.0,1
29.0,962.58,0,33.0,14.0,3,1,0,1.0,3
23.0,383.02,0,12.0,3.0,4,3,0,1.0,1
1.0,323.38,0,26.0,3.0,5,2,1,2.0,1
1.0,457.79999999999995,0,16.0,3.0,3,4,1,2.0,3
9.0,122.31,0,8.0,2.0,7,3,1,0.0,3
6.0,296.28,0,7.0,3.0,2,1,1,2.0,1
9.0,916.0500000000001,1,16.0,7.0,8,5,0,2.0,1
3.0,214.16000000000003,1,14.0,3.0,1,5,0,0.0,1
1.0,288.08,0,15.0,1.0,3,3,1,2.0,1
0.0,148.34,0,21.0,0.0,8,3,0,0.0,1
18.0,136.33,1,29.0,8.0,2,5,0,1.0,1
29.0,1321.95,1,25.0,8.0,5,4,0,3.0,1
0.0,132.29,0,7.0,2.0,5,1,1,0.0,1
29.0,129.42,0,15.0,3.0,3,3,1,1.0,1
8.0,422.56,0,20.0,3.0,3,3,0,1.0,3
3.0,336.38,0,7.0,10.0,3,3,0,1.0,1
8.0,422.56,0,20.0,3.0,3,3,0,2.0,3
8.0,1377.92,0,17.0,3.0,3,1,0,6.0,1
7.0,140.01,1,16.0,7.0,2,3,0,1.0,3
15.0,294.76,0,16.0,5.0,4,5,1,1.0,1
23.0,1583.0500000000002,0,9.0,4.0,5,1,0,3.0,1
12.0,328.99,0,17.0,12.0,5,3,0,1.0,1
5.0,619.36,0,13.0,8.0,2,3,0,1.0,3
8.0,339.8,0,18.0,9.0,6,4,0,1.0,2
17.0,318.66,0,10.0,3.0,10,4,0,1.0,1
1.0,271.62,0,16.0,1.0,3,1,1,1.0,3
14.0,328.99,0,16.0,14.0,11,3,0,1.0,1
23.0,398.06,0,15.0,8.0,6,4,0,1.0,1
1.0,308.52,1,13.0,1.0,3,2,1,2.0,1
7.0,308.22,0,12.0,3.0,3,2,1,1.0,1
9.0,122.93,0,31.0,1.0,2,3,1,0.0,1
7.0,1015.28,0,6.0,8.0,2,2,1,6.0,1
0.0,111.18,1,30.0,0.0,2,1,1,1.0,3
4.0,429.18,0,13.0,12.0,2,5,0,3.0,1
1.0,455.34000000000003,0,28.0,3.0,3,2,1,1.0,3
0.0,628.5,0,14.0,7.0,2,1,1,0.0,1
4.0,371.82,0,9.0,3.0,4,1,0,2.0,1
1.0,443.79,1,7.0,1.0,4,1,1,1.0,1
0.0,123.25,0,14.0,0.0,1,5,1,1.0,3
9.0,122.69999999999999,0,6.0,2.0,4,2,1,0.0,1
14.0,124.50999999999999,0,14.0,8.0,5,3,1,1.0,1
6.0,383.34,0,22.0,3.0,7,1,0,1.0,1
1.0,297.24,0,8.0,8.0,8,5,1,2.0,1
1.0,277.34,1,8.0,2.0,2,1,1,0.0,1
23.0,163.47,0,6.0,13.0,1,3,0,1.0,3
1.0,1584.8,1,10.0,8.0,3,5,1,10.0,1
1.0,305.9,1,32.0,2.0,3,1,1,1.0,1
4.0,392.8,0,22.0,8.0,4,5,0,1.0,3
12.0,284.04,1,9.0,1.0,3,2,1,2.0,1
10.0,130.22,0,25.0,0.0,5,4,1,0.0,1
13.0,135.44,0,22.0,0.0,10,3,1,1.0,1
8.0,165.4,0,15.0,0.0,10,4,0,0.0,1
11.0,639.2,1,8.0,12.0,7,5,0,4.0,1
13.0,281.38,1,14.0,2.0,4,1,0,1.0,1
1.0,298.08,1,17.0,1.0,8,5,1,2.0,1
9.0,170.94,0,16.0,7.0,4,3,0,0.0,1
1.0,291.22,0,10.0,1.0,3,1,1,2.0,1
16.0,1194.3600000000001,1,31.0,9.0,3,5,0,6.0,1
1.0,1034.53,1,8.0,5.0,2,4,0,7.0,3
0.0,123.50999999999999,0,14.0,0.0,1,3,1,1.0,3
7.0,129.72,0,13.0,0.0,2,1,1,0.0,1
11.0,764.0999999999999,1,17.0,4.0,2,5,1,5.0,1
1.0,2088.8,1,22.0,8.0,9,3,0,1.0,1
1.0,270.18,1,17.0,2.0,3,3,1,2.0,1
0.0,163.49,1,6.0,4.0,1,4,0,0.0,3
14.0,143.93,0,14.0,4.0,6,4,0,0.0,3
12.0,1419.92,0,9.0,6.0,5,1,0,2.0,3
9.0,120.61000000000001,0,9.0,0.0,2,1,1,1.0,1
8.0,282.96,0,14.0,9.0,2,3,0,0.0,1
3.0,357.46,0,8.0,3.0,2,5,0,1.0,1
1.0,184.63,0,11.0,3.0,1,5,0,0.0,3
2.0,363.22,0,23.0,8.0,2,5,0,1.0,1
11.0,165.53,0,8.0,0.0,10,3,0,1.0,1
1.0,323.38,0,26.0,3.0,5,1,1,1.0,1
1.0,332.1,0,16.0,8.0,3,1,0,2.0,3
15.0,391.64,1,30.0,3.0,5,3,0,1.0,3
20.0,601.34,0,8.0,13.0,3,5,0,1.0,3
9.0,351.86,0,9.0,1.0,4,5,0,1.0,1
2.0,248.07999999999998,1,14.0,2.0,8,5,1,1.0,1
0.0,697.84,0,6.0,7.0,2,4,0,3.0,1
18.0,4324.2,0,35.0,18.0,5,5,0,1.0,1
19.0,1047.8,1,20.0,9.0,8,3,0,1.0,3
0.0,149.5,0,16.0,1.0,1,1,0,1.0,3
5.0,292.14,0,12.0,1.0,8,5,1,2.0,1
9.0,120.99000000000001,0,17.0,4.0,1,5,1,1.0,1
12.0,324.04,0,13.0,5.0,3,3,1,1.0,1
16.0,966.25,0,15.0,3.0,2,4,0,3.0,3
9.0,303.8,0,14.0,2.0,3,1,1,2.0,1
8.0,180.95,0,11.0,13.0,1,4,0,0.0,1
8.0,290.16,0,17.0,1.0,3,4,1,2.0,1
17.0,164.65,1,16.0,3.0,3,1,0,0.0,1
12.0,292.66,1,15.0,8.0,3,4,0,2.0,1
0.0,123.72999999999999,1,14.0,2.0,3,4,1,1.0,1
7.0,1081.55,0,11.0,3.0,3,5,0,2.0,1
0.0,161.8,0,32.0,4.0,2,2,0,0.0,3
23.0,314.22,0,32.0,5.0,3,5,1,2.0,1
23.0,529.28,1,7.0,8.0,9,3,0,1.0,1
8.0,172.95,0,6.0,6.0,2,4,0,0.0,3
1.0,292.54,0,24.0,1.0,3,4,1,2.0,1
3.0,367.38,0,17.0,5.0,11,3,0,2.0,3
17.0,159.85,0,6.0,2.0,5,3,0,1.0,2
11.0,1706.72,0,16.0,3.0,3,4,0,2.0,3
0.0,142.56,0,10.0,3.0,2,5,0,1.0,3
11.0,188.23,0,23.0,9.0,1,3,0,0.0,1
3.0,296.8,0,22.0,6.0,3,2,1,1.0,1
17.0,154.54,1,6.0,3.0,6,5,0,1.0,3
14.0,170.82,1,29.0,2.0,4,3,0,0.0,3
18.0,328.99,1,19.0,8.0,7,3,0,2.0,3
1.0,445.04999999999995,1,20.0,1.0,6,5,1,3.0,2
14.0,444.1,0,17.0,3.0,4,4,0,1.0,3
1.0,318.16,0,17.0,4.0,9,1,1,1.0,1
0.0,647.0999999999999,0,31.0,7.0,2,3,1,2.0,2
25.0,179.69,1,9.0,4.0,3,3,0,0.0,1
0.0,162.72,0,34.0,4.0,2,4,0,1.0,3
13.0,2860.9,0,21.0,12.0,2,3,0,6.0,1
10.0,323.76,0,25.0,1.0,6,2,1,1.0,1
9.0,870.1200000000001,0,8.0,7.0,4,1,0,3.0,3
6.0,387.27,1,9.0,0.0,2,3,1,2.0,1
9.0,116.11000000000001,0,7.0,0.0,2,1,1,1.0,1
12.0,4068.4500000000003,1,19.0,2.0,7,4,0,1.0,1
23.0,793.98,1,13.0,13.0,4,3,0,1.0,1
18.0,2263.8,0,12.0,8.0,7,2,0,12.0,3
13.0,372.4,1,28.0,5.0,5,1,0,1.0,3
11.0,374.8,1,16.0,7.0,1,3,0,2.0,3
0.0,878.0799999999999,0,14.0,7.0,1,1,1,2.0,1
0.0,136.69,0,25.0,2.0,4,2,1,1.0,1
7.0,177.56,0,9.0,4.0,1,1,0,1.0,1
15.0,1639.77,0,6.0,6.0,2,3,0,4.0,3
0.0,134.79,0,35.0,4.0,1,4,1,0.0,1
8.0,330.02,1,17.0,8.0,3,3,0,2.0,3
3.0,342.98,0,9.0,3.0,3,3,0,2.0,3
16.0,297.4,0,9.0,7.0,4,1,0,1.0,1
0.0,285.96,0,6.0,0.0,6,5,0,2.0,1
6.0,443.07,0,7.0,3.0,2,4,1,1.0,3
3.0,137.61,0,11.0,3.0,10,1,1,0.0,1
5.0,5127.2,0,19.0,9.0,3,3,0,10.0,1
19.0,444.48,0,14.0,3.0,4,5,0,1.0,1
25.0,359.64,0,9.0,3.0,7,4,0,1.0,1
25.0,1227.04,0,13.0,8.0,2,3,1,8.0,1
0.0,246.45999999999998,0,14.0,2.0,2,1,1,2.0,1
17.0,879.13,1,14.0,1.0,2,5,1,2.0,1
4.0,1354.8500000000001,0,10.0,7.0,2,4,0,4.0,3
1.0,297.54,0,28.0,1.0,3,3,1,2.0,1
16.0,351.74,1,19.0,1.0,5,1,0,2.0,3
23.0,328.99,1,30.0,5.0,4,3,0,1.0,1
10.0,1728.1,0,13.0,12.0,2,2,1,5.0,1
7.0,125.53,0,14.0,3.0,2,2,1,1.0,1
4.0,324.96,0,8.0,8.0,3,4,1,2.0,1
1.0,327.88,0,11.0,3.0,7,3,1,1.0,1
10.0,328.99,0,13.0,2.0,5,3,0,0.0,1
0.0,156.17,1,32.0,8.0,2,1,0,0.0,3
22.0,135.8,0,6.0,2.0,3,5,1,1.0,1
31.0,3187.24,0,35.0,3.0,6,5,0,4.0,3
2.0,414.36,0,26.0,10.0,2,1,1,1.0,1
5.0,255.18,1,25.0,2.0,7,3,1,0.0,1
1.0,376.98,1,7.0,5.0,2,4,0,1.0,3
24.0,4430.55,0,12.0,15.0,8,3,0,8.0,1
0.0,139.77,1,8.0,2.0,7,3,1,0.0,1
2.0,291.4,0,16.0,5.0,3,2,1,2.0,1
6.0,309.12,0,7.0,1.0,3,5,1,1.0,1
22.0,295.18,0,27.0,1.0,6,3,1,1.0,1
16.0,328.99,0,33.0,9.0,7,4,0,3.0,3
31.0,1380.72,0,25.0,3.0,8,1,0,4.0,1
10.0,600.76,0,9.0,10.0,6,3,1,3.0,1
1.0,301.28,0,9.0,1.0,3,1,1,1.0,2
0.0,134.08,0,16.0,3.0,8,2,1,0.0,1
19.0,1047.8,1,20.0,9.0,8,3,0,1.0,3
0.0,153.04,1,25.0,4.0,9,2,0,1.0,3
1.0,293.6,0,15.0,3.0,8,1,1,2.0,2
5.0,458.73,0,27.0,3.0,2,2,1,2.0,3
14.0,294.19,0,15.0,11.0,3,3,0,1.0,1
23.0,357.8,0,9.0,9.0,4,4,0,2.0,3
26.0,3899.88,0,7.0,10.0,2,3,0,8.0,1
0.0,144.01,0,15.0,4.0,2,3,1,0.0,1
12.0,364.9,0,30.0,3.0,11,1,0,1.0,1
0.0,255.66000000000003,0,8.0,2.0,2,3,1,0.0,3
1.0,449.62,0,27.0,3.0,3,3,0,2.0,3
1.0,296.38,1,7.0,1.0,3,5,1,1.0,1
9.0,2517.68,1,32.0,3.0,3,3,0,1.0,1
19.0,339.54,1,14.0,3.0,6,3,1,1.0,1
8.0,883.02,0,6.0,9.0,10,3,0,3.0,3
28.0,338.8,1,17.0,5.0,8,5,0,1.0,1
3.0,877.6200000000001,0,12.0,7.0,1,2,0,5.0,1
3.0,192.5,0,35.0,3.0,4,4,0,0.0,3
9.0,120.13,0,13.0,3.0,3,4,1,0.0,1
11.0,758.96,0,7.0,12.0,3,2,0,4.0,1
20.0,123.80000000000001,1,14.0,0.0,10,2,1,0.0,1
20.0,1000.4000000000001,1,13.0,9.0,8,5,0,1.0,1
7.0,298.74,1,24.0,1.0,11,3,1,2.0,1
3.0,494.49,0,16.0,3.0,2,2,1,3.0,1
22.0,1158.57,0,9.0,8.0,4,2,0,5.0,3
1.0,1465.04,1,34.0,8.0,3,1,0,1.0,3
9.0,309.54,0,7.0,2.0,3,1,1,1.0,1
31.0,1610.96,0,32.0,10.0,9,5,0,7.0,3
9.0,354.08,1,14.0,10.0,3,1,0,2.0,3
1.0,294.52,0,9.0,3.0,3,4,1,2.0,1
23.0,295.17,0,6.0,6.0,4,2,0,1.0,3
6.0,154.87,0,16.0,9.0,2,3,0,0.0,3
1.0,348.14,1,15.0,5.0,2,3,0,2.0,3
24.0,3283.17,1,15.0,10.0,5,4,0,6.0,3
5.0,140.78,1,8.0,2.0,1,4,0,1.0,3
15.0,150.87,1,18.0,0.0,4,1,0,0.0,3
0.0,123.22999999999999,1,14.0,2.0,2,2,1,0.0,3
1.0,449.0,1,30.0,3.0,11,5,0,2.0,2
18.0,318.4,0,27.0,4.0,3,4,1,2.0,1
19.0,292.64,0,35.0,4.0,6,1,1,2.0,1
5.0,368.3,0,14.0,8.0,5,1,0,1.0,1
3.0,678.9499999999999,1,6.0,7.0,1,4,1,1.0,1
3.0,784.3199999999999,0,15.0,10.0,2,5,0,0.0,1
17.0,541.86,0,7.0,3.0,6,2,0,2.0,1
18.0,318.4,0,27.0,4.0,3,4,1,2.0,1
20.0,625.78,0,11.0,9.0,4,4,0,2.0,3
0.0,126.59,1,12.0,2.0,2,2,1,0.0,1
1.0,458.18999999999994,0,13.0,3.0,2,3,1,3.0,1
0.0,130.33,0,9.0,2.0,2,3,1,0.0,1
0.0,1132.04,1,12.0,7.0,5,3,0,6.0,3
0.0,146.47,1,9.0,4.0,2,2,0,1.0,3
0.0,152.94,0,22.0,7.0,4,3,0,1.0,1
2.0,163.84,0,35.0,6.0,9,3,0,0.0,1
10.0,954.3000000000001,1,21.0,12.0,2,1,0,3.0,1
2.0,158.69,0,16.0,4.0,10,3,0,1.0,3
27.0,159.4,0,9.0,5.0,3,5,0,1.0,3
1.0,291.48,1,9.0,1.0,3,5,1,2.0,1
13.0,328.99,0,14.0,8.0,3,4,0,4.0,1
23.0,321.6,0,7.0,3.0,4,5,1,2.0,1
17.0,295.16,0,28.0,3.0,9,1,1,2.0,1
9.0,363.78,1,25.0,3.0,3,3,0,1.0,1
4.0,264.22,0,14.0,0.0,4,4,0,1.0,1
25.0,268.56,0,9.0,16.0,2,5,0,1.0,3
14.0,320.88,0,23.0,1.0,11,3,1,2.0,1
8.0,1689.68,0,16.0,3.0,3,4,0,5.0,1
4.0,381.56,0,17.0,5.0,3,3,0,1.0,3
12.0,294.31,0,15.0,3.0,3,1,0,1.0,1
0.0,165.0,0,8.0,7.0,1,3,0,0.0,3
17.0,159.85,0,6.0,2.0,5,3,0,1.0,2
8.0,155.61,0,24.0,4.0,1,5,0,1.0,3
28.0,1878.4500000000003,0,24.0,8.0,4,4,0,1.0,3
4.0,431.88,1,32.0,3.0,4,4,0,2.0,3
1.0,128.56,0,9.0,0.0,2,4,1,1.0,3
9.0,121.09,0,14.0,2.0,10,4,1,0.0,2
9.0,180.08,0,11.0,2.0,5,5,0,1.0,1
14.0,364.3,0,9.0,4.0,9,4,0,1.0,3
1.0,318.94,0,29.0,3.0,3,3,1,1.0,3
0.0,144.2,0,9.0,7.0,2,2,1,1.0,1
9.0,784.76,0,15.0,7.0,2,2,0,0.0,3
1.0,362.34,1,33.0,9.0,3,1,0,1.0,3
1.0,307.72,0,30.0,3.0,3,1,1,1.0,1
12.0,330.56,0,14.0,6.0,2,1,0,2.0,3
6.0,1306.3400000000001,0,11.0,9.0,3,3,0,6.0,1
14.0,1277.44,0,9.0,10.0,2,3,0,4.0,1
0.0,157.65,0,19.0,0.0,6,4,0,1.0,3
5.0,153.96,0,16.0,8.0,2,1,0,1.0,3
10.0,1708.64,0,19.0,3.0,2,2,0,6.0,1
23.0,328.99,1,28.0,9.0,2,1,0,13.0,1
13.0,427.32,0,8.0,7.0,2,4,0,0.0,1
15.0,570.3,0,9.0,5.0,3,4,0,1.0,3
14.0,160.32,1,12.0,2.0,7,4,0,1.0,1
9.0,846.16,0,9.0,2.0,5,4,1,4.0,1
4.0,154.76,0,11.0,2.0,2,1,0,0.0,3
22.0,328.99,1,6.0,7.0,8,3,0,1.0,1
18.0,328.99,1,26.0,10.0,1,2,0,0.0,1
15.0,1045.87,0,14.0,7.0,3,4,0,7.0,1
1.0,318.14,0,16.0,4.0,9,5,0,1.0,3
14.0,297.74,0,7.0,4.0,5,4,1,2.0,1
14.0,445.26,1,9.0,4.0,2,1,1,1.0,1
4.0,291.94,0,10.0,5.0,6,2,1,1.0,1
5.0,612.36,0,30.0,7.0,2,2,0,2.0,1
9.0,130.38,0,12.0,0.0,4,1,1,0.0,1
1.0,505.91999999999996,0,7.0,1.0,5,2,1,3.0,1
15.0,3596.45,0,8.0,7.0,1,5,0,1.0,1
19.0,278.61,0,8.0,1.0,7,3,0,1.0,1
8.0,836.1199999999999,0,31.0,8.0,4,4,0,2.0,1
7.0,566.76,0,15.0,3.0,4,5,0,3.0,3
1.0,1195.67,1,19.0,8.0,5,1,0,4.0,3
26.0,409.38,1,10.0,5.0,4,3,0,2.0,1
20.0,1097.85,0,7.0,3.0,1,4,0,0.0,1
0.0,153.46,0,15.0,7.0,5,5,0,0.0,1
18.0,298.59,1,8.0,4.0,6,5,0,1.0,1
5.0,312.8,1,27.0,3.0,3,4,1,1.0,3
3.0,304.0,0,30.0,8.0,3,3,1,2.0,1
7.0,276.3,1,16.0,0.0,2,3,1,2.0,1
0.0,140.66,0,25.0,7.0,2,5,1,0.0,1
10.0,196.02,1,8.0,0.0,5,3,0,0.0,3
16.0,124.55000000000001,0,14.0,7.0,1,1,1,0.0,1
22.0,1515.12,0,23.0,8.0,10,3,0,8.0,3
1.0,458.18999999999994,0,13.0,3.0,2,3,1,2.0,1
0.0,129.66,0,11.0,0.0,1,3,1,0.0,3
3.0,214.16000000000003,1,14.0,3.0,1,5,0,0.0,1
11.0,380.04,0,13.0,2.0,6,1,0,2.0,3
15.0,328.99,1,32.0,0.0,4,5,0,0.0,1
5.0,448.72,0,12.0,3.0,2,5,0,2.0,1
26.0,1147.25,0,14.0,3.0,9,4,0,4.0,1
9.0,345.76,1,23.0,3.0,2,4,0,2.0,1
9.0,180.08,0,11.0,2.0,5,5,0,1.0,1
14.0,1498.65,0,13.0,10.0,2,3,0,1.0,1
0.0,257.5,1,10.0,2.0,2,1,1,2.0,1
11.0,2019.42,0,21.0,18.0,3,5,1,4.0,1
9.0,122.58000000000001,0,27.0,2.0,8,2,1,0.0,1
1.0,446.48,0,27.0,3.0,5,3,0,2.0,1
1.0,313.44,1,16.0,1.0,4,5,1,1.0,1
0.0,146.17,0,6.0,2.0,2,3,0,1.0,1
19.0,4057.2000000000003,0,8.0,9.0,9,5,0,1.0,3
31.0,375.0,0,9.0,15.0,6,4,0,11.0,3
2.0,137.85,0,34.0,4.0,2,5,1,0.0,1
1.0,333.42,1,10.0,3.0,2,3,0,2.0,1
6.0,306.54,0,9.0,1.0,3,5,1,2.0,3
26.0,1470.48,0,6.0,10.0,8,5,0,6.0,3
24.0,3767.54,1,29.0,10.0,3,1,0,1.0,1
10.0,293.06,0,25.0,8.0,3,2,1,2.0,1
7.0,1251.44,0,15.0,7.0,8,5,1,4.0,1
7.0,309.68,0,7.0,1.0,10,1,0,0.0,1
